source,target,weight,layer
0,1,6,3
0,13,14,3
0,27,1,3
0,43,13,3
0,44,3,3
0,43,2,5
0,27,50664,6
0,39,460,6
0,72,27,7
0,18,1153,11
0,3,3,12
0,14,8,12
0,16,3972,12
0,18,132,12
0,26,3,12
0,27,383,12
0,39,80,12
0,43,96,12
0,1,1,15
0,16,1826,18
0,18,7,18
0,27,162,18
0,33,316,18
0,35,2,18
0,44,4,18
0,27,1,22
0,27,1,23
0,1,8,24
0,5,4,24
0,6,121,24
0,8,121,24
0,13,183,24
0,14,3,24
0,16,98,24
0,18,721,24
0,21,35,24
0,22,315,24
0,26,42,24
0,27,876,24
0,31,193,24
0,39,850,24
0,41,28,24
0,44,1891,24
0,54,5,24
0,57,18,24
0,69,69,24
0,109,14,24
0,1,8,29
0,5,27,29
0,14,1,29
0,16,1,29
0,26,5,29
0,27,1,29
0,44,13,29
0,59,8,38
0,5,102,40
0,6,10,40
0,8,10,40
0,14,58,40
0,16,574,40
0,18,32,40
0,26,20,40
0,27,250,40
0,35,6,40
0,43,17,40
0,44,70,40
0,79,11,40
0,5,34,44
0,6,10,44
0,8,10,44
0,14,21,44
0,16,6979,44
0,18,284,44
0,26,4,44
0,27,7,44
0,35,3,44
0,43,5,44
0,44,80,44
0,79,1,44
0,133,4,44
0,27,5,49
0,16,5496,51
0,26,1,51
0,27,7,51
0,35,4,51
0,79,1,51
0,115,1,52
0,16,15,54
0,27,1448,54
0,16,34,55
0,27,677,55
0,27,62,57
0,27,60,63
0,5,16,67
0,26,1,67
0,27,176,67
0,39,4,68
0,5,4,77
0,16,32702,77
0,35,4,77
0,5,14,79
0,14,3,79
0,16,3351,79
0,27,1846,79
0,16,450,82
0,6,1,90
0,8,1,90
0,27,3,90
0,44,11,90
0,27,4,105
0,27,6,109
0,32,94,110
0,43,131,142
0,16,10,143
0,27,10623,143
0,27,1,144
0,34,12,147
0,27,3,152
0,27,3,166
0,5,4,168
0,27,1,171
0,16,2,174
0,18,99,174
0,27,10,174
0,27,278,175
0,16,177,182
0,27,131,182
0,5,22,183
0,6,80,183
0,8,80,183
0,10,27,183
0,14,1,183
0,27,3,183
0,43,4,183
0,5,2,185
0,16,6,189
0,18,46,192
0,27,1089,192
0,79,2,192
0,133,1,192
0,18,5,194
0,1,2,197
0,16,2314,198
0,5,4,199
0,6,1,199
0,8,1,199
0,14,38,199
0,16,10,199
0,18,112,199
0,26,6,199
0,27,9,199
0,35,2,199
0,43,5,199
0,44,2,199
0,79,3,199
0,44,25,207
0,27,5,212
0,27,1,214
0,5,2,226
0,6,1,229
0,8,1,229
0,14,17629,229
0,16,9760,229
0,27,1,229
0,27,1,230
0,18,86,236
0,27,401,236
0,39,48,236
0,27,28,237
0,39,92,237
0,27,376,254
0,44,3,254
0,27,1,255
0,27,11341,256
0,6,2475,258
0,7,302,258
0,8,2173,258
0,27,2,258
0,39,11,258
0,149,107,258
0,27,33,266
0,18,165,268
0,27,18,268
0,18,58,291
0,77,1,293
0,1,3,295
0,5,17,295
0,26,2,295
0,27,178,295
0,35,2,295
0,88,180,296
0,18,63,301
0,33,10,302
0,179,1,302
0,5,5,303
0,14,5,303
0,18,10,303
0,34,133,303
0,35,5,303
0,59,9,303
0,186,1,304
0,27,31,307
0,14,1,309
0,26,2,309
0,43,5,309
0,27,344,313
0,39,80,319
0,43,3,319
0,79,1,319
0,6,3,320
0,8,3,320
0,1,33,321
0,3,56,321
0,4,30,321
0,5,377,321
0,6,7,321
0,8,7,321
0,13,28,321
0,14,152,321
0,16,7834,321
0,18,244,321
0,26,968,321
0,27,40,321
0,29,118,321
0,31,18671,321
0,32,121,321
0,34,380,321
0,35,15,321
0,41,413,321
0,43,1130,321
0,44,348,321
0,59,47,321
0,72,192,321
0,79,15,321
0,115,7,321
0,116,1953,321
0,120,23,321
0,127,56,321
0,181,1,321
0,18,6644,327
0,39,781,327
0,27,151,330
0,14,59,332
0,27,219,332
0,27,7,333
0,14,5,337
0,10,1102,339
0,27,2778,339
0,39,55,339
0,14,287,342
0,16,48,342
0,88,1422,342
0,133,2,342
0,145,1901,342
0,16,75,348
0,27,163,349
0,27,55,351
0,27,2,356
0,39,94,359
0,18,81,361
0,27,15,361
0,39,146,362
1,0,475,1
1,1,57,1
1,2,8,1
1,3,1,1
1,5,513,1
1,6,5017,1
1,7,4171,1
1,8,813,1
1,9,33,1
1,13,14,1
1,14,5,1
1,16,57,1
1,17,486,1
1,18,88,1
1,21,4,1
1,22,326,1
1,24,3,1
1,25,353,1
1,26,20,1
1,27,15,1
1,28,90,1
1,29,1,1
1,30,178,1
1,31,2,1
1,33,3390,1
1,34,24,1
1,35,716,1
1,36,3,1
1,38,222,1
1,43,3165,1
1,44,1734,1
1,56,9,1
1,59,12,1
1,61,2,1
1,67,60,1
1,74,101,1
1,78,1,1
1,79,14,1
1,86,37,1
1,93,34,1
1,98,223,1
1,104,45692,1
1,108,45,1
1,109,11,1
1,112,4,1
1,118,117,1
1,119,1,1
1,124,1,1
1,133,8,1
1,138,1,1
1,149,47,1
1,154,17,1
1,155,2303,1
1,157,156,1
1,164,47,1
1,165,111,1
1,169,52,1
1,172,16,1
1,181,221,1
1,211,106,1
1,0,100,2
1,1,13,2
1,6,190,2
1,7,142,2
1,9,48,2
1,17,1546,2
1,25,559,2
1,28,388,2
1,30,5327,2
1,31,124,2
1,32,143,2
1,33,1346,2
1,34,141,2
1,38,656,2
1,44,339,2
1,75,192,2
1,77,18,2
1,104,2948,2
1,108,4,2
1,138,178,2
1,149,260,2
1,155,560,2
1,165,243,2
1,0,15,3
1,1,7234,3
1,2,20,3
1,3,43,3
1,4,33,3
1,5,3927,3
1,6,41781,3
1,7,7998,3
1,8,29681,3
1,9,4029,3
1,10,57,3
1,13,442,3
1,14,698,3
1,16,365,3
1,17,4731,3
1,18,1000,3
1,20,410,3
1,21,254,3
1,22,64939,3
1,24,64,3
1,25,16045,3
1,26,303,3
1,27,102,3
1,28,3733,3
1,29,3,3
1,30,44924,3
1,31,523,3
1,32,576,3
1,33,12382,3
1,34,427,3
1,35,47,3
1,36,274,3
1,38,8474,3
1,39,111,3
1,43,9618,3
1,44,38122,3
1,48,481,3
1,50,3,3
1,51,2,3
1,54,36,3
1,59,12,3
1,61,147,3
1,62,70,3
1,67,582,3
1,68,151,3
1,69,82,3
1,70,77,3
1,75,2846,3
1,77,2,3
1,79,425,3
1,83,396,3
1,85,4,3
1,87,20,3
1,89,10,3
1,91,5,3
1,95,364,3
1,98,4295,3
1,101,3,3
1,104,139473,3
1,107,4,3
1,108,3199,3
1,109,869,3
1,111,20,3
1,114,1,3
1,115,97,3
1,119,87,3
1,124,28,3
1,132,12,3
1,133,431,3
1,138,37,3
1,139,73,3
1,145,172,3
1,147,147,3
1,149,656,3
1,154,7,3
1,155,1290,3
1,157,477,3
1,164,17,3
1,165,1679,3
1,181,363,3
1,211,790,3
1,1,113,4
1,2,306,4
1,5,459,4
1,6,49460,4
1,7,25664,4
1,8,11913,4
1,9,11883,4
1,12,415,4
1,14,19,4
