# index, name, nodeLabel, _pos
0,ACCIAIUOL,ACCIAIUOL,"array([3.94774014, 1.27190816])"
1,ALBIZZI,ALBIZZI,"array([4.00678226, 1.24376539])"
2,BARBADORI,BARBADORI,"array([4.04318317, 1.24057603])"
3,BISCHERI,BISCHERI,"array([4.06256035, 1.17627264])"
4,CASTELLAN,CASTELLAN,"array([4.08781547, 1.23036128])"
5,GINORI,GINORI,"array([4.00982917, 1.2755482 ])"
6,GUADAGNI,GUADAGNI,"array([4.03023609, 1.19770244])"
7,LAMBERTES,LAMBERTES,"array([4.06207852, 1.20843385])"
8,MEDICI,MEDICI,"array([3.98505173, 1.2229508 ])"
9,PAZZI,PAZZI,"array([3.93097038, 1.19532021])"
10,PERUZZI,PERUZZI,"array([4.09293656, 1.20158075])"
11,PUCCI,PUCCI,"array([4.07595472, 1.35848552])"
12,RIDOLFI,RIDOLFI,"array([4.02038424, 1.16258917])"
13,SALVIATI,SALVIATI,"array([3.94258202, 1.22756048])"
14,STROZZI,STROZZI,"array([4.08881084, 1.16625408])"
15,TORNABUON,TORNABUON,"array([3.98743386, 1.18265289])"
